,created_at,id,id_str,tweet,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
0,11/14/2022 21:39,1.59217e+18,1.59217e+18,halo indonesia bal ambil helat ktt g harap diskus pimpin dunia isu global,False,172,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,False,4169,21671,False,False,False,in,,,Halo Indonesia. Telah tiba di Bali untuk ambil bagian dalam helatan KTT G20. Saya berharap dapat berdiskusi dengan para pemimpin dunia mengenai berbagai isu global. @g20org https://t.co/bmRHZj8dxt,,,,,,,,,,,,,,
1,11/14/2022 19:35,1.59213e+18,1.59213e+18,g rp miliar habis siap laksana rangkai temu g kendara listrik keluar baru siap fasilitas super mewah siap jabat negara keluarga,False,274,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,False,4495,15570,False,False,False,in,,,"G20 untuk siapa?

Rp674 miliar dihabiskan untuk persiapan dan pelaksanaan rangkaian pertemuan G20. Kendaraan listrik keluaran terbaru disiapkan, fasilitas super mewah disiapkan untuk para pejabat tinggi negara dan keluarganya.

#G20
#YaAkuBakalDibaca
https://t.co/1sYKTnHpgd",,,,,,,,,,,,,,
2,11/15/2022 8:03,1.59232e+18,1.59232e+18,indonesia pegang ketua g desember posisi presidensi g percaya sempat indonesia kontribusi pulih ekonomi dunia tata kelola dunia sehat adil lanjut,False,280,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,False,375,1954,False,False,False,in,,,"Indonesia memegang keketuaan G20 sejak 1 Desember 2021 lalu. 

Posisi Presidensi G20 adalah sebuah kepercayaan, sekaligus kesempatan bagi Indonesia untuk berkontribusi lebih besar bagi pemulihan ekonomi dunia serta tata kelola dunia yang lebih sehat, lebih adil dan berkelanjutan. https://t.co/4sM4hoAGzP",,,,,,,,,,,,,,
3,11/16/2022 10:07,1.59272e+18,1.59272e+18,bem mpm sejayapura tolak ktt g,False,140,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,False,in,,,"BEM dan MPM Se-Jayapura Tolak KTT G20 https://t.co/y0ZOde5JbM 
#thepapuajournal #westpapua #tanahpapua #papua #BEM #MPM #Jayapura #G20Summit",,,,,,,,,,,,,,
4,11/16/2022 10:07,1.59272e+18,1.59272e+18,polri patroli tebal aman acara puncak ktt g dorong ekonomi dunia,False,97,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,False,in,,,"Polri patroli pertebal pengamanan acara puncak KTT G20

#KTTG20LangkahNyata

Dorong Ekonomi Dunia https://t.co/zZPncIYAxX",,,,,,,,,,,,,,
5,11/16/2022 10:07,1.59272e+18,1.59272e+18,indonesia mepersiapkan matang acara g keren,False,220,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,True,0,0,False,False,False,in,x1592685783147651072,1.59269e+18,"Indonesia mepersiapkan dengan matang acara G20, KEREN 
#KTTG20 #PresidensiG20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia #PulihBersama #SukseskanKTTG20 https://t.co/xqxo89x64X",,,,,,,,,,,,,,
6,11/16/2022 10:07,1.59272e+18,1.59272e+18,sianjerrr pa basuki hubung masyarakat g wkwkwkwk,False,43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,,in,,,Sianjerrr pa basuki jadi humas G20 WKWKWKWK,,,,,,,,,,,,,,
7,11/16/2022 10:07,1.59272e+18,1.59272e+18,g rusia bal nato sarap ronaldo wendy sepatu anak potong rp dapat shopee,False,214,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,False,0,0,False,False,False,in,,,"LO G20 Rusia Bali NATO Sarapan Ronaldo Wendy #G20PulihLebihCepat #BTSHistoryMakers #G20BangkitLebihKuat 
 sepatu anak dengan potongan 11%! Hanya Rp4.450. Dapatkan segera di Shopee! https://t.co/21nyaYuSAu #ShopeeID https://t.co/NCESwOlk6c",,,,,,,,,,,,,,
8,11/16/2022 10:07,1.59272e+18,1.59272e+18,presidensi g milik output perekomian dunia dorong ekonomi dunia,False,104,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,False,0,0,False,False,True,in,,,"Presidensi G20 20 memiliki 3 output untuk perekomian dan dunia

#KTTG20LangkahNyata Dorong Ekonomi Dunia https://t.co/XRhUYxM2mV",,,,,,,,,,,,,,
9,11/16/2022 10:07,1.59272e+18,1.59272e+18,dukung laksana g sukses,False,210,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",x1592699821173145600,1.5927e+18,x1565696594590441472,1.5657e+18,kentunkgorengg,,False,0,0,False,False,False,in,,,@kentunkgorengg @maryshelparaiso Kita dukung pelaksanaan G20 sukses https://t.co/LDsOVZ2Iwf #KTTG20 #PresidensiG20 #G20Indonesia #G20Indonesia2022 #GroupOfTwentyIndonesia #PulihBersama #JokowiBapakInfrastruktur,,,,,,,,,,,,,,
10,11/16/2022 10:07,1.59272e+18,1.59272e+18,ksad dudung ar damping presiden joko widodo laksana tactical floor game tfg aman presidensi g dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,False,239,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,False,in,,,"perlu kita ingat KSAD Dudung AR mendampingi Presiden Joko Widodo dalam pelaksanaan Tactical Floor Game (TFG) Pengamanan Presidensi G20.

@Ngopibareng_DAR

KSAD Jenderal Dudung Abdurachman
Angkatan Darat Di Hati Rakyat
Tulus Utamakan Rakyat https://t.co/uZYtzxsze7",,,,,,,,,,,,,,
11,11/16/2022 10:07,1.59272e+18,1.59272e+18,ktt g aman lancar kondusif polri laksana patroli skala dorong ekonomi dunia,False,113,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,False,in,,,"KTT G20 aman, lancar dan kondusif, polri laksanakan patroli skala sedang
#KTTG20LangkahNyata
Dorong Ekonomi Dunia https://t.co/m76VeQ9kb9",,,,,,,,,,,,,,
12,11/16/2022 10:06,1.59272e+18,1.59272e+18,selamat sukses g indonesia,False,49,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,False,0,0,False,False,False,in,,,"Selamat dan sukses G20 Indonesia 2022 
@cakimiNOW https://t.co/TQrQ2x6xDf",,,,,,,,,,,,,,
13,11/16/2022 10:06,1.59272e+18,1.59272e+18,ktt g bal trend topic twitter kakak perempuan pucuk vincent jisung hyung grammy donald trump best of the best,False,138,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,False,in,,,"KTT G20 Bali Jadi Trending Topic Twitter.

#UsutSkandalBukuMerah
#Bali
Teh Pucuk
Vincent
JISUNG HYUNG
Grammy
Donald Trump
BEST OF THE BEST https://t.co/KDbhLQkCFl",,,,,,,,,,,,,,
14,11/16/2022 10:06,1.59272e+18,1.59272e+18,presidenai g indonesia tolong maju ekonomu indonesia dunia dorong ekonomi dunia,False,113,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,,in,,,"Presidenai G20 Indonesia menolong kemajuan ekonomu Indonesia dan dunia

#KTTG20LangkahNyata

Dorong Ekonomi Dunia",,,,,,,,,,,,,,
15,11/16/2022 10:06,1.59272e+18,1.59272e+18,pimpin negara gabung g hadir rangkai giat ktt g dorong ekonomi dunia,False,133,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,False,0,0,False,False,False,in,,,"Para pemimpin negara yang tergabung dalam G20 telah menghadiri serangkaian kegiatan KTT G20

#KTTG20LangkahNyata Dorong Ekonomi Dunia https://t.co/C58g2s65De",,,,,,,,,,,,,,
16,11/16/2022 10:06,1.59272e+18,1.59272e+18,agenda ktt g tutup jamu makan lotus pond garuda wisnu kencana gwk bal selasa malam ragam tari nusantara tampil acara,False,195,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,False,0,0,False,False,False,in,,,"Agenda KTT G20 ditutup dengan jamuan makan di Lotus Pond Garuda Wisnu Kencana (GWK), Bali, Selasa (15/11) malam. Ragam tarian Nusantara pun ditampilkan di acara tersebut.  https://t.co/8pT9RUnjDv",,,,,,,,,,,,,,
17,11/16/2022 10:06,1.59272e+18,1.59272e+18,aman presidensi g bal tni terjun personel ribu materiel dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,False,219,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,False,0,0,False,False,False,in,,,"kita harus tau   Dalam pengamanan Presidensi G20 di Bali ini, TNI AD menerjunkan 6.552 personel dan ribuan materiel

@Ngopibareng_DAR

KSAD Jenderal Dudung Abdurachman
Angkatan Darat Di Hati Rakyat
Tulus Utamakan Rakyat https://t.co/w2mDR3E8Nf",,,,,,,,,,,,,,
